International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Hydroxychloroquine 155/Orally,Hydroxytoid 155 mg 20 tab,أخصائي,No
Hydroxychloroquine 155/Orally,Hydroxytoid 155 mg 10 tab,أخصائي,No
Hydroxychloroquine 155/Orally,PLAQUENIL 155 mg 60 tab,أخصائي,No
Hydroxychloroquine 155/Orally,PLAQUENIL 155 mg 10 tab,أخصائي,No
Leflunomide 20/Orally,ARTHFREE 20 mg 30 tab,أخصائي,Protocol
Leflunomide 20/Orally,ARTHFREE 20 mg 10 tab,أخصائي,Protocol
Leflunomide 20/Orally,APETOID 20 mg 30 tab,أخصائي,Protocol
Leflunomide 20/Orally,APETOID 20 mg 10 tab,أخصائي,Protocol
Leflunomide 20/Orally,AVARA 20 mg 30 tab,أخصائي,Protocol
Leflunomide 20/Orally,AVARA 20 mg 10 tab,استشاري,Protocol
Glucosamine 500/Orally,JOFLEX 500 mg 30 cap,أخصائي,No
Glucosamine 500/Orally,JOFLEX 500 mg 10 cap,أخصائي,No
Glucosamine + Calcium + Vitamin C 1000/70/250 Orally,Cosantox 30 tab,أخصائي,No
Glucosamine + Calcium + Vitamin C 1000/70/250 Orally,Cosantox 10 tab,أخصائي,No
Glucosamine + Chondroitin sulfate 500/400Orally,CHONDROGEN 20 tab,أخصائي,No
Glucosamine + Chondroitin sulfate 500/400Orally,CHONDROGEN 10 tab,أخصائي,No
Glucosamine + Chondroitin sulfate 375/300/375 Orally,GENUPHIL 50 tab,أخصائي,No
Glucosamine + Chondroitin sulfate 375/300/375 Orally,GENUPHIL 10 tab,أخصائي,No
 Glucosamine sulphate + Ginkgo biloba leaf extract 500/50Orally,Orthoglobe 30 cap,أخصائي,No
 Glucosamine sulphate + Ginkgo biloba leaf extract 500/50Orally,Orthoglobe 10 cap,أخصائي,No
 Glucosamine sulphate + Ginkgo biloba leaf extract 500/50Orally,DOROFEN 30 cap,أخصائي,No
 Glucosamine sulphate + Ginkgo biloba leaf extract 500/50Orally,DOROFEN 10 cap,أخصائي,No
Alendronic acid 70/Orally,OSTEONATE 70 mg 4 tab,أخصائي,Protocol
Alendronic acid 70/Orally,Fosamax Once weekly 70 mg 2 tab,أخصائي,Protocol
Alendronic acid + VitaminD2 70/2800Orally,FOSAVANCE 70mg/2800IU 2 tab,أخصائي,Protocol
Ibandronic acid 150/Orally,Bonprove 150 mg  3 tab,أخصائي,Protocol
Ibandronic acid 150/Orally,Bonprove 150 mg  1 tab,أخصائي,Protocol
Ibandronic acid 150/Orally,IBANDROCARE 150 mg 2 tab,أخصائي,Protocol
Ibandronic acid 150/Orally,IBANDROCARE 150 mg 1 tab,أخصائي,Protocol
Denosumab 60/S.C,Prolia 60 mg/ml PFS,استشاري,Pre-authorization
Denosumab 70/S.C,xgeva 120 mg/1.7 ml vial,استشاري,Pre-authorization
Teriparatide 20/S.C,Forteo 20 mcg/80mcl PFP,استشاري,Pre-authorization
Methocarbamol + Diclofenac 500/50Orally,FLEXILAX 30 tab,طبيب أسرة,No
Methocarbamol + Diclofenac 500/50Orally,FLEXILAX 10 tab,طبيب أسرة,No
Baclofen 10/Orally,Mylobac 10 mg 20 tab,أخصائي,No
Baclofen 10/Orally,Mylobac 10 mg 10 tab,أخصائي,No
Baclofen 25/Orally,Mylobac 25 mg 20 tab,أخصائي,No
Baclofen 25/Orally,Mylobac 25 mg 10 tab,أخصائي,No
Baclofen 25/Orally,BACLOFEN BP 2011 25mg 10 tab,أخصائي,No
Baclofen 25/Orally,BACLOFEN BP 2011 25mg 20 tab,أخصائي,No
Cyclobenzaprine 5/Orally, Moveasy 5 mg 20 tab,طبيب أسرة,No
Cyclobenzaprine 5/Orally, Moveasy 5 mg 10 tab,طبيب أسرة,No
Cyclobenzaprine 5/Orally,Multi-Relax 5 mg 20 tab,طبيب أسرة,No
Cyclobenzaprine 5/Orally,Multi-Relax 5 mg 10 tab,طبيب أسرة,No
Cyclobenzaprine 10/Orally, Moveasy 10 mg 20 tab,طبيب أسرة,No
Cyclobenzaprine 10/Orally, Moveasy 10 mg 10 tab,طبيب أسرة,No
Cyclobenzaprine 10/Orally,Multi-Relax 10 mg 20 tab,طبيب أسرة,No
Cyclobenzaprine 10/Orally,Multi-Relax 10 mg 10 tab,طبيب أسرة,No
Cyclobenzaprine 30/Orally,Prinorelax 30 mg 10 cap,طبيب أسرة,No
Dantrolene 25/Orally,Dantrelax 25 mg 30 cap,أخصائي,No
Dantrolene 25/Orally,Dantrelax 25 mg 10 cap,أخصائي,No
Dantrolene 25/Orally,Relatrolene 25 mg 10 cap,أخصائي,No
Dantrolene 25/Orally,Relatrolene 25 mg 20 cap,أخصائي,No
Tizanidine  2/Orally, S.M.R 2 mg 20 tab,طبيب أسرة,No
Tizanidine  2/Orally, S.M.R 2 mg 10 tab,طبيب أسرة,No
Tizanidine  2/Orally,Sirdalud 2 mg 20 tab,طبيب أسرة,No
Tizanidine  2/Orally,Sirdalud 2 mg 10 tab,طبيب أسرة,No
Tizanidine  4/Orally,REKAN 4 mg 20 tab,طبيب أسرة,No
Tizanidine  4/Orally,REKAN 4 mg 10 tab,طبيب أسرة,No
Tizanidine  4/Orally,Sirdalud 4 mg 20 tab,طبيب أسرة,No
Tizanidine  4/Orally,Sirdalud 4 mg 10 tab,طبيب أسرة,No
Pyridostigmine 60/Orally,Pyriclonerve 60 mg 10 tab,أخصائي,No
Pyridostigmine 60/Orally,Pyriclonerve 60 mg 30 tab,أخصائي,No
Pyridostigmine 60/Orally,Pystinon 60 mg 20 tab,أخصائي,No
Pyridostigmine 60/Orally,Pystinon 60 mg 10 tab,أخصائي,No
Pyridostigmine 60/Orally,Mestinon 60 mg 10 tab,أخصائي,No
Pyridostigmine 60/Orally,Mestinon 60 mg 150 tab,أخصائي,No
Cetirizine 5/Orally,Badotirizin 5 mg/5ml 125 ml syrup,طبيب أسرة,No
Cetirizine 5/Orally,Lergfree 5 mg/5ml 120 ml syrup,طبيب أسرة,No
Cetirizine 5/Orally,Zyrtec  5 mg/5ml 100 ml syrup,طبيب أسرة,No
Cetirizine 10/Orally,Zyrtec  10 mg/ml 10 ml oral drops,طبيب أسرة,No
Cetirizine 10/Orally,Zyrtec 10 mg 10 tab,طبيب أسرة,No
Cetirizine 10/Orally,Zyrtec 10 mg 20 tab,طبيب أسرة,No
"Chlorpheniramine 5/I.M, I.V, I.V infusion, S.C",Pirafene 5 mg/ml amp,طبيب أسرة,No
"Chlorpheniramine 5/I.M, I.V, I.V infusion, S.C",Pirafene 5 mg/ml 6 amp,طبيب أسرة,No
Chlorpheniramine 2/Orally,Allergyl 2 mg/5ml 120 ml syrup,طبيب أسرة,No
Chlorpheniramine 4/Orally,Anallerge 4 mg 20 tab,طبيب أسرة,No
Chlorpheniramine 4/Orally,Anallerge 4 mg 200 tab,طبيب أسرة,No
Chlorpheniramine 4/Orally,Allergyl 4 mg 10 tab,طبيب أسرة,No
Chlorpheniramine 4/ORALLY,Allergyl 4 mg 20 tab,طبيب أسرة,No
Chlorpheniramine 4/ORALLY,PIRAFENE 4 mg 20 tab,طبيب أسرة,No
Ketotifen 1/Orally,KETOTI Pharco 1 mg 20 tab,طبيب أسرة,No
Ketotifen 1/Orally,KETOTI Pharco 1 mg 10 tab,طبيب أسرة,No
Ketotifen 20/Orally,Zylofen 1 mg/5ml 100 ml syrup,طبيب أسرة,No
Pheniramine 45.5/I.M,Avil 45.5 mg/2ml 6 amp,طبيب أسرة,No
Pheniramine 45.5/I.M,Avil 45.5 mg/2ml amp,طبيب أسرة,No
levoCetirizine 5/Orally,Levohistam 5 mg/ml 20 ml oral drops,طبيب أسرة,No
levoCetirizine 5/Orally,Levohistam 5 mg 30 tab,طبيب أسرة,No
levoCetirizine 5/Orally,Levohistam 5 mg 10 tab,طبيب أسرة,No
Desloratadine 5/Orally,Fernilar 5mg 20 tab,طبيب أسرة,No
Desloratadine 5/Orally,ORDESCA 5 mg 20 tab,طبيب أسرة,No
Desloratadine 5/Orally,ORDESCA 5 mg 10 tab,طبيب أسرة,No
Desloratadine 5/Orally,AERIUS 5 mg 20 tab,طبيب أسرة,No
Desloratadine 5/Orally,AERIUS 5 mg 10 tab,طبيب أسرة,No
Desloratadine 0.5/Orally,Fernilar 2.5 mg/5ml 60 ml syrup,طبيب أسرة,No
Ebastine 1/Orally,Evastine  5 mg/5ml 100 ml syrup,طبيب أسرة,No
Ebastine 10/Orally,Evastine 10 mg 20 tab,طبيب أسرة,No
Ebastine 10/Orally,Evastine 10 mg 10 tab,طبيب أسرة,No
Ebastine 10/Orally,Astin 10 mg 20 tab,طبيب أسرة,No
Fexofenadine 120/Orally,HISTAFREE 120 mg 10 tab,طبيب أسرة,No
Fexofenadine 120/Orally,Telfast 120 mg 20 tab,طبيب أسرة,No
Fexofenadine 120/Orally,Telfast 120 mg 10 tab,طبيب أسرة,No
Fexofenadine 180/Orally,Fastel 180 mg 10 tab,طبيب أسرة,No
Fexofenadine 180/Orally,Telfast 180 mg tab 20 tab,طبيب أسرة,No
Fexofenadine 180/Orally,Telfast 180 mg tab 10 tab,طبيب أسرة,No
Fexofenadine 30/Orally,Histamedizen 30 mg/5ml 100 ml syrup,طبيب أسرة,No
Fexofenadine 30/Orally,Telfast 30 mg/5ml 100 ml syrup,طبيب أسرة,No
Loratadine 10/Orally,Allergetone 10 mg 10 tab,طبيب أسرة,No
Loratadine 10/Orally,Loratan 10 mg 10 tab,طبيب أسرة,No
Loratadine 5/Orally,uniloratidine 5 mg/5ml 100 ml syrup,طبيب أسرة,No
Betamethasone + Dexchloropheneramine 0.25/2Orally,BETALLERGE 30 tab,طبيب أسرة,No
Albendazole 20/Orally,Alzental 20 mg/ml 20 ml suspension,طبيب أسرة,No
Albendazole 200/Orally,Alzental 200 mg 6 tab,طبيب أسرة,No
Albendazole 200/Orally,Alzental 200 mg 2 tab,طبيب أسرة,No
Albendazole 200/Orally,Antizole 200 mg 2 tab,طبيب أسرة,No
Mebendazole 5/Orally,VERMIN 5 mg/ml 30 ml suspension,طبيب أسرة,No
Mebendazole 100/Orally,ANTIVER 100 mg 6 tab,طبيب أسرة,No
Mebendazole 500/Orally,Verm One 500 mg tab,طبيب أسرة,No
Mebendazole 500/Orally,Verm One 500 mg 28 tab,طبيب أسرة,No
Flubendazole 100/Orally,FLUVER 100 mg 6 tab,طبيب أسرة,No
Flubendazole 20/Orally,FLUVER 20 mg/ml 30 ml suspension,طبيب أسرة,No
Flubendazole 20/Orally,FLUB 20 mg/ml 30 ml suspension,طبيب أسرة,No
Ivermectin 6/Orally,IVERZINE 6 mg 8 tab,طبيب أسرة,No
Ivermectin 6/Orally,IVACTIN 6 mg 6 tab,طبيب أسرة,No
Ivermectin 6/Orally,Revemact 6 mg 10 tab,طبيب أسرة,No
Phenoxymethylpenicillin 1000000/Orally,Ospen 1000 I.U 12 tab,طبيب أسرة,Protocol
Phenoxymethylpenicillin 1500000/Orally,Ospen 1500 I.U 12 tab,طبيب أسرة,Protocol
Phenoxymethylpenicillin 1500000/Orally,Ospen 1500 I.U 6 tab,طبيب أسرة,Protocol
Benzathine benzylpenicillin 1.2/I.M,LASTIPEN 1.2M.I.U vial,طبيب أسرة,Protocol
"Benzathine benzylpenicillin 1/I.V, I.M","BenzylPenicillin B.P 2020  1 M.I.U vial
",طبيب أسرة,Protocol
Amoxicillin 125/Orally,E-MOX 125 mg/5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin 125/Orally,Rivamox 125mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin 250/Orally,Moxipen 250 mg/5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin 250/Orally,Neomoxibact 250 mg/5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin 500/Orally,Moxipen 500mg  12cap,طبيب أسرة,No
Amoxicillin 500/Orally,E-MOX 500mg  16 cap,طبيب أسرة,No
Amoxicillin 500/Orally,E-MOX 500mg  8 cap,طبيب أسرة,No
"Amoxicillin 500/I.M, I.V",BIOMOX 500mg vial,طبيب أسرة,No
"Amoxicillin 500/I.M, I.V",E-MOX 500 mg vial,طبيب أسرة,No
"Amoxicillin 1000/I.M, I.V",BIOMOX  1gm vial,طبيب أسرة,No
"Amoxicillin 1000/I.M, I.V",E-MOX 1 gm vial,طبيب أسرة,No
"Amoxicillin + Flucloxacillin 250/250I.M, I.V",FLUMOX 500 mg vial,طبيب أسرة,No
"Amoxicillin + Flucloxacillin 250/250I.M, I.V",FLUCAMOX 500 mg vial,طبيب أسرة,No
"Amoxicillin + Flucloxacillin 500/500I.M, I.V",FLUCAMOX 1 gm vial,طبيب أسرة,No
"Amoxicillin + Flucloxacillin 500/500I.M, I.V",FLUMOX 1000 mg vial,طبيب أسرة,No
Amoxicillin + Flucloxacillin 125/125Orally,FLUCAMOX 250 mg/5ml 60 ml suspension,طبيب أسرة,No
Amoxicillin + Flucloxacillin 125/125Orally,FLUMOX 250 mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Flucloxacillin 125/125Orally,FLUMOX 250 mg 12 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 125/125Orally,FLUMOX 250 mg 6 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,FLUCAMOX 500 mg 12 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,FLUCAMOX 500 mg 4cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,FLUMOX 500mg 16 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,FLUMOX 500mg 8 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,HI-FLUCIL 500 mg 16 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,HI-FLUCIL 500 mg 8 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,Amofluxin 500 mg 20 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 250/250Orally,Amofluxin 500 mg 10 cap,طبيب أسرة,No
Amoxicillin + Flucloxacillin 500/500Orally,FLUMOX 1 gm 15 tab,طبيب أسرة,No
Amoxicillin + Flucloxacillin 500/500Orally,FLUMOX 1 gm 5 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 125/31.25Orally,MAGNABIOTIC 156mg/5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 125/31.25Orally,E-Moxclav 156mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 200/28.5Orally,AMOXILANIC 228.5mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 200/28.5Orally,E-moxclav 228.5mg/5ml 75 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 250/62.5Orally,CURAM 312.5/5 ml 75 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 250/62.5Orally,E-Moxclav 312.5mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 250/62.5Orally,Magnabiotic 312.5 mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 250/62.5Orally,Clavimox 312.50mg5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 400/57Orally,Clavimox 457mg5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 400/57Orally,Augram  457 mg5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 400/57Orally,E-moxclav 457 mg /5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 400/57Orally,CURAM 457mg/5ml 70 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 600/42.9Orally,Augram 642.9 mg/5 ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 600/42.9Orally,AVEROBIOS 642.9mg/5ml 80 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 600/42.9Orally,Clavimox 642.9 mg/5ml 75 ml suspension,طبيب أسرة,No
Amoxicillin + Clavulanic acid 250/125Orally,E-moxclav 375 mg 10 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,E-MOXCLAV 625mg 10 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,CLAVIMOX 625mg 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,CLAVIMOX 625mg 4 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,ULTRAMOX 625 mg 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,ULTRAMOX 625 mg 6 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,MEGAMOX 625 mg 14 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,MEGAMOX 625 mg 7 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,CURAM 625mg 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 500/125Orally,CURAM 625mg 4tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,CURAM 1gm 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,CURAM 1gm 4 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,MEGAMOX 1gm 14 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,MEGAMOX 1gm 7 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125/297.38 Orally,Augram 1 gm 14 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125/297.38 Orally,Augram 1 gm 7tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/148.9Orally,CLAVIMOX 1gm 8 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/148.9Orally,CLAVIMOX 1gm 4 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,CLASYNMO 1 gm 20 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,CLASYNMO 1 gm 10 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,E-Moxclav 1gm 10 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,ULTRAMOX 1gm 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,ULTRAMOX 1gm 6 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,Fondaclav 1gm 12 tab,طبيب أسرة,No
Amoxicillin + Clavulanic acid 875/125Orally,AUGMENTIN 1gm 12 sachets,طبيب أسرة,No
"Ampicillin 500/I.M, I.V",AMPICILLIN 500 mg vial,طبيب أسرة,No
"Ampicillin 1000/I.M, I.V",AMPICILLIN 1 gm vial,طبيب أسرة,No
Ampicillin 250/Orally,AMPICILLIN 250 mg/5 ml 60 ml suspension,طبيب أسرة,No
Ampicillin 500/Orally,AMPICILLIN 500 mg 12 cap,طبيب أسرة,No
Ampicillin 500/Orally,EPICOCILLIN 500 mg 16 cap,طبيب أسرة,No
Ampicillin 500/Orally,EPICOCILLIN 500 mg 8 cap,طبيب أسرة,No
"Ampicillin + Sulbactam 250/125I.M, I.V",UNICTAM 375 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 250/125I.M, I.V",SULBIN 375 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 250/125I.M, I.V",ULTRACILLIN 375mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 500/250I.M, I.V",AMPICTAM 750 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 500/250I.M, I.V",Novactam 750 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 500/250I.M, I.V",SULBIN 750 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 500/250I.M, I.V",Ultracillin 750 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 500/250I.M, I.V",UNICTAM 750 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 1000/500I.M, I.V",SULBIN 1500 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 1000/500I.M, I.V",ULTRACILLIN 1500 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 1000/500I.M, I.V",AMPICTAM 1500 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 1000/500I.M, I.V",NOVACTAM 1500 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 1000/500I.M, I.V",UNICTAM 1500 mg vial,طبيب أسرة,No
"Ampicillin + Sulbactam 2000/1000I.M, I.V",Unictam 3 gm vial,طبيب أسرة,No
Ampicillin + Sulbactam 250/125Orally,NOVACTAM 375 mg 12 tab,طبيب أسرة,No
Ampicillin + Sulbactam 250/125Orally,NOVACTAM 375 mg 6 tab,طبيب أسرة,No
Ampicillin + Sulbactam 250/125Orally,UNICTAM 375 mg 12 tab,طبيب أسرة,No
Ampicillin + Sulbactam 250/125Orally,UNICTAM 375 mg 6 tab,طبيب أسرة,No
"Cefoperazone 500/I.M, I.V",Cefozon 0.5 gm vial,أخصائي,No
"Cefoperazone 500/I.M, I.V",Cefron 0.5 gm vial,أخصائي,No
"Cefoperazone 1000/I.M, I.V",Cefozon 1 gm vial,أخصائي,No
"Cefoperazone 1000/I.M, I.V",PERACEF 1gm vial,أخصائي,No
"Cefoperazone 1000/I.M, I.V",CEFOBID 1 gm vial,أخصائي,No
"Cefoperazone 2000/I.M, I.V",Cefozon 2 gm vial,أخصائي,No
"Cefoperazone 2000/I.M, I.V",CEFRONE 2 gm vial,أخصائي,No
"Cefoperazone + Sulbactam 1000/500I.M, I.V",Cefazone plus 1.5 gm vial,أخصائي,Protocol
"Cefoperazone + Sulbactam 1000/500I.M, I.V",Trexotaz 1.5 gm vial,أخصائي,Protocol
"Cefoperazone + Sulbactam 1000/1000I.M, I.V",trexotaz 2 gm vial,أخصائي,Protocol
Cefaclor 125/Orally,Ceclor 125 mg5ml 75 ml suspension,أخصائي,No
Cefaclor 125/Orally,CEFACLOR 125mg/5ml 75 ml suspension U.S.P.34,أخصائي,No
Cefaclor 250/Orally,Ceclor 250 mg 5ml 75 ml suspension,أخصائي,No
Cefaclor 250/Orally,CEFACLOR 250mg/5ml 75 ml suspension,أخصائي,No
Cefalexin 250/Orally,Keflex 250mg/5ml 60 ml suspension,طبيب أسرة,No
Cefalexin 250/Orally,MEDICEFLEXIN 2505ml 100 ml suspension,طبيب أسرة,No
Cefalexin 250/Orally,NEOCEF 250mg5ml 80 ml suspension,طبيب أسرة,No
Cefalexin 500/Orally,NEOCEF 500 mg 12 cap,طبيب أسرة,No
Cefalexin 500/Orally,Keflex 500 mg 12 cap,طبيب أسرة,No
Cefalexin 500/Orally,MEDICEFLEXIN 500 mg 20 cap,طبيب أسرة,No
Cefalexin 500/Orally,MEDICEFLEXIN 500 mg 10 cap,طبيب أسرة,No
Cefalexin 1000/Orally,Keflex 1000 mg 16 tab,طبيب أسرة,No
Cefalexin 1000/Orally,Keflex 1000 mg 8 tab,طبيب أسرة,No
Clindamycin 150/Orally,Mepaclind 150 mg 16 Cap,طبيب أسرة,No
Clindamycin 150/Orally,Mepaclind 150 mg 8 Cap,طبيب أسرة,No
Clindamycin 300/Orally,ADCOCLINDACE 300 mg 16 cap,طبيب أسرة,No
Clindamycin 300/Orally,ADCOCLINDACE 300 mg 8 cap,طبيب أسرة,No
Clindamycin 300/Orally,DALACIN C 300 mg 10 cap,طبيب أسرة,No
"Clindamycin 150/I.M, I.V infusion",Alfaclindamycin 300 mg/2ml 5 amp,أخصائي,No
"Clindamycin 150/I.M, I.V infusion",Alfaclindamycin 300 mg/2ml amp,أخصائي,No
"Clindamycin 150/I.M, I.V infusion",Alfaclindamycin 600 mg/4ml 5 amp,أخصائي,No
"Clindamycin 150/I.M, I.V infusion",Alfaclindamycin 600 mg/4ml amp,أخصائي,No
"Clindamycin 150/I.M, I.V infusion",DALACIN C 600 mg/4ml amp,أخصائي,No
"Clindamycin 150/I.M, I.V infusion",DALACIN C 600 mg/4ml 4 amp,أخصائي,No
Neomycin 350/Orally,NEOMYCIN 350 I.U. 20 tab,أخصائي,No
Neomycin 350/Orally,NEOMYCIN 350 I.U. 10 tab,أخصائي,No
Sulphamethoxazole + Trimethoprim 40/8Orally,CO-TRIMOXAZOLE 200/40 mg/5ml 120 ml suspension,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 400/80Orally,Co-Trimoxazol B.P.2015. 400/80 mg 20 Tab ,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 400/80Orally,Co-Trimoxazol B.P.2015. 400/80 mg 10 Tab ,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 400/80Orally,SEPTAZOLE 400/80 mg 200 tablets,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 400/80Orally,SEPTAZOLE 400/80 mg 10 tablets,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 800/160Orally,COTRIL FORT 800/160 mg 12 tab,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 800/160Orally,COTRIL FORT 800/160 mg 6 tab,طبيب أسرة,No
Sulphamethoxazole + Trimethoprim 800/160Orally,SEPTRIN D.S 800/160 mg 10 tab,طبيب أسرة,No
Nitrofurantoin 50/Orally,Mepafuran 50 mg 20 cap,طبيب أسرة,No
Nitrofurantoin 50/Orally,Mepafuran 50 mg 10 cap,طبيب أسرة,No
Nitrofurantoin 100/Orally,Mepafuran 100 mg 20 cap,طبيب أسرة,No
Nitrofurantoin 100/Orally,Mepafuran 100 mg 10 cap,طبيب أسرة,No
Metronidazole 1000/Rectal,Amrizole 1000 mg 5 supp,طبيب أسرة,No
Metronidazole 250/Orally,AMRIZOLE 250 mg 20 tab,طبيب أسرة,No
Metronidazole 250/Orally,AMRIZOLE 250 mg 10 tab,طبيب أسرة,No
Metronidazole 250/Orally,METRONIDAZOLE 250 mg 20 tab,طبيب أسرة,No
Metronidazole 250/Orally,METRONIDAZOLE 250 mg 10 tab,طبيب أسرة,No
Metronidazole 250/Orally,Metrozole 250 mg 20 tab,طبيب أسرة,No
Metronidazole 250/Orally,Metrozole 250 mg 10 tab,طبيب أسرة,No
Metronidazole 500/Orally,AMRIZOLE 500mg 20 tab,طبيب أسرة,No
Metronidazole 500/Orally,AMRIZOLE 500mg 10 tab,طبيب أسرة,No
Metronidazole 500/Orally,Nitrofectazole 500 mg 10 tab,طبيب أسرة,No
Metronidazole 500/Orally,Flagyl 500 mg 20 tab,طبيب أسرة,No
Metronidazole 500/Orally,Flagyl 500 mg 10 tab,طبيب أسرة,No
Metronidazole 200/Orally,Flagellat Forte  200mg5ml 100 ml suspension,طبيب أسرة,No
Metronidazole 125/Orally,AMRIZOLE  125mg5ml 120 ml suspension,طبيب أسرة,No
Tinidazole 500/Orally,PROTOZOLE 500 mg 12 tab,طبيب أسرة,No
Tinidazole 500/Orally,PROTOZOLE 500 mg 4 tab,طبيب أسرة,No
Metronidazole + Ciprofloxacin 500/500Orally,Ciprodiazole 20 tab,أخصائي,No
Metronidazole + Ciprofloxacin 500/500Orally,Ciprodiazole 10 tab,أخصائي,No
Cefadroxil 1000/Orally,CEFEX 1 gm 8 tab,طبيب أسرة,No
Cefadroxil 1000/Orally,Curisafe 1 gm 12 tab,طبيب أسرة,No
Cefadroxil 1000/Orally,Curisafe 1 gm 8 tab,طبيب أسرة,No
Cefadroxil 1000/Orally,Curisafe 1 gm 4 tab,طبيب أسرة,No
Cefadroxil 125/Orally,Curisafe 125mg/5ml 60 ml suspension,طبيب أسرة,No
Cefadroxil 250/Orally,Curisafe 250mg/5ml 60 ml suspension,طبيب أسرة,No
